f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.3,0.6,0.1,0.2,0.1,161,2
0.3,0.6,0.1,0.2,0.15,157,2
0.3,0.6,0.1,0.2,0.2,171,2
0.3,0.6,0.1,0.2,0.25,165,2
0.3,0.6,0.1,0.2,0.3,168,2
0.3,0.6,0.1,0.25,0.05,172,2
0.3,0.6,0.1,0.25,0.1,167,2
0.3,0.6,0.1,0.25,0.15,167,2
0.3,0.6,0.1,0.25,0.2,163,2
0.3,0.6,0.1,0.25,0.25,161,2
0.3,0.6,0.1,0.25,0.3,162,2
0.3,0.6,0.1,0.3,0.05,174,2
0.3,0.6,0.1,0.3,0.1,170,2
0.3,0.6,0.1,0.3,0.15,169,2
0.3,0.6,0.1,0.3,0.2,168,2
0.3,0.6,0.1,0.3,0.25,166,2
0.3,0.6,0.1,0.3,0.3,168,2
0.3,0.6,0.15,0.05,0.05,162,2
0.3,0.6,0.15,0.05,0.1,163,2
0.3,0.6,0.15,0.05,0.15,153,2
0.3,0.6,0.15,0.05,0.2,156,2
0.3,0.6,0.15,0.05,0.25,158,2
0.3,0.6,0.15,0.05,0.3,167,2
0.3,0.6,0.15,0.1,0.05,146,2
0.3,0.6,0.15,0.1,0.1,159,2
0.3,0.6,0.15,0.1,0.15,155,2
0.3,0.6,0.15,0.1,0.2,155,2
0.3,0.6,0.15,0.1,0.25,158,2
0.3,0.6,0.15,0.1,0.3,167,2
0.3,0.6,0.15,0.15,0.05,170,2
0.3,0.6,0.15,0.15,0.1,170,2
0.3,0.6,0.15,0.15,0.15,166,2
0.3,0.6,0.15,0.15,0.2,166,2
0.3,0.6,0.15,0.15,0.25,170,2
0.3,0.6,0.15,0.15,0.3,165,2
0.3,0.6,0.15,0.2,0.05,168,2
0.3,0.6,0.15,0.2,0.1,169,2
0.3,0.6,0.15,0.2,0.15,163,2
0.3,0.6,0.15,0.2,0.2,163,2
0.3,0.6,0.15,0.2,0.25,162,2
0.3,0.6,0.15,0.2,0.3,169,2
0.3,0.6,0.15,0.25,0.05,177,2
0.3,0.6,0.15,0.25,0.1,170,2
0.3,0.6,0.15,0.25,0.15,170,2
0.3,0.6,0.15,0.25,0.2,171,2
0.3,0.6,0.15,0.25,0.25,165,2
0.3,0.6,0.15,0.25,0.3,168,2
0.3,0.6,0.15,0.3,0.05,168,2
0.3,0.6,0.15,0.3,0.1,170,2
0.3,0.6,0.15,0.3,0.15,173,2
0.3,0.6,0.15,0.3,0.2,170,2
0.3,0.6,0.15,0.3,0.25,168,2
0.3,0.6,0.15,0.3,0.3,165,2
0.3,0.6,0.2,0.05,0.05,153,2
0.3,0.6,0.2,0.05,0.1,153,2
0.3,0.6,0.2,0.05,0.15,155,2
0.3,0.6,0.2,0.05,0.2,172,2
0.3,0.6,0.2,0.05,0.25,164,2
0.3,0.6,0.2,0.05,0.3,169,2
0.3,0.6,0.2,0.1,0.05,162,2
0.3,0.6,0.2,0.1,0.1,166,2
0.3,0.6,0.2,0.1,0.15,162,2
0.3,0.6,0.2,0.1,0.2,149,2
0.3,0.6,0.2,0.1,0.25,159,2
0.3,0.6,0.2,0.1,0.3,167,2
0.3,0.6,0.2,0.15,0.05,169,2
0.3,0.6,0.2,0.15,0.1,169,2
0.3,0.6,0.2,0.15,0.15,168,2
0.3,0.6,0.2,0.15,0.2,169,2
0.3,0.6,0.2,0.15,0.25,162,2
0.3,0.6,0.2,0.15,0.3,168,2
0.3,0.6,0.2,0.2,0.05,170,2
0.3,0.6,0.2,0.2,0.1,166,2
0.3,0.6,0.2,0.2,0.15,150,2
0.3,0.6,0.2,0.2,0.2,167,2
0.3,0.6,0.2,0.2,0.25,170,2
0.3,0.6,0.2,0.2,0.3,158,2
0.3,0.6,0.2,0.25,0.05,168,2
0.3,0.6,0.2,0.25,0.1,169,2
0.3,0.6,0.2,0.25,0.15,172,2
0.3,0.6,0.2,0.25,0.2,163,2
0.3,0.6,0.2,0.25,0.25,170,2
0.3,0.6,0.2,0.25,0.3,165,2
0.3,0.6,0.2,0.3,0.05,173,2
0.3,0.6,0.2,0.3,0.1,173,2
0.3,0.6,0.2,0.3,0.15,171,2
0.3,0.6,0.2,0.3,0.2,166,2
0.3,0.6,0.2,0.3,0.25,166,2
0.3,0.6,0.2,0.3,0.3,168,2
0.3,0.6,0.25,0.05,0.05,160,2
