f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.2,0.6,0.15,0.05,0.25,149,1
0.2,0.6,0.15,0.05,0.3,157,1
0.2,0.6,0.15,0.1,0.05,124,1
0.2,0.6,0.15,0.1,0.1,149,1
0.2,0.6,0.15,0.1,0.15,158,1
0.2,0.6,0.15,0.1,0.2,146,1
0.2,0.6,0.15,0.1,0.25,156,1
0.2,0.6,0.15,0.1,0.3,147,1
0.2,0.6,0.15,0.15,0.05,100,1
0.2,0.6,0.15,0.15,0.1,133,1
0.2,0.6,0.15,0.15,0.15,143,1
0.2,0.6,0.15,0.15,0.2,145,1
0.2,0.6,0.15,0.15,0.25,153,1
0.2,0.6,0.15,0.15,0.3,157,1
0.2,0.6,0.15,0.2,0.05,81,1
0.2,0.6,0.15,0.2,0.1,122,1
0.2,0.6,0.15,0.2,0.15,129,1
0.2,0.6,0.15,0.2,0.2,142,1
0.2,0.6,0.15,0.2,0.25,140,1
0.2,0.6,0.15,0.2,0.3,144,1
0.2,0.6,0.15,0.25,0.05,72,1
0.2,0.6,0.15,0.25,0.1,101,1
0.2,0.6,0.15,0.25,0.15,126,1
0.2,0.6,0.15,0.25,0.2,112,1
0.2,0.6,0.15,0.25,0.25,134,1
0.2,0.6,0.15,0.25,0.3,134,1
0.2,0.6,0.15,0.3,0.05,57,1
0.2,0.6,0.15,0.3,0.1,82,1
0.2,0.6,0.15,0.3,0.15,97,1
0.2,0.6,0.15,0.3,0.2,110,1
0.2,0.6,0.15,0.3,0.25,103,1
0.2,0.6,0.15,0.3,0.3,128,1
0.2,0.6,0.2,0.05,0.05,89,1
0.2,0.6,0.2,0.05,0.1,116,1
0.2,0.6,0.2,0.05,0.15,125,1
0.2,0.6,0.2,0.05,0.2,132,1
0.2,0.6,0.2,0.05,0.25,139,1
0.2,0.6,0.2,0.05,0.3,138,1
0.2,0.6,0.2,0.1,0.05,91,1
0.2,0.6,0.2,0.1,0.1,124,1
0.2,0.6,0.2,0.1,0.15,137,1
0.2,0.6,0.2,0.1,0.2,140,1
0.2,0.6,0.2,0.1,0.25,154,1
0.2,0.6,0.2,0.1,0.3,160,1
0.2,0.6,0.2,0.15,0.05,81,1
0.2,0.6,0.2,0.15,0.1,113,1
0.2,0.6,0.2,0.15,0.15,130,1
0.2,0.6,0.2,0.15,0.2,138,1
0.2,0.6,0.2,0.15,0.25,141,1
0.2,0.6,0.2,0.15,0.3,145,1
0.2,0.6,0.2,0.2,0.05,68,1
0.2,0.6,0.2,0.2,0.1,84,1
0.2,0.6,0.2,0.2,0.15,102,1
0.2,0.6,0.2,0.2,0.2,126,1
0.2,0.6,0.2,0.2,0.25,121,1
0.2,0.6,0.2,0.2,0.3,130,1
0.2,0.6,0.2,0.25,0.05,53,1
0.2,0.6,0.2,0.25,0.1,83,1
0.2,0.6,0.2,0.25,0.15,88,1
0.2,0.6,0.2,0.25,0.2,98,1
0.2,0.6,0.2,0.25,0.25,117,1
0.2,0.6,0.2,0.25,0.3,115,1
0.2,0.6,0.2,0.3,0.05,44,1
0.2,0.6,0.2,0.3,0.1,66,1
0.2,0.6,0.2,0.3,0.15,74,1
0.2,0.6,0.2,0.3,0.2,83,1
0.2,0.6,0.2,0.3,0.25,91,1
0.2,0.6,0.2,0.3,0.3,92,1
0.2,0.6,0.25,0.05,0.05,74,1
0.2,0.6,0.25,0.05,0.1,103,1
0.2,0.6,0.25,0.05,0.15,118,1
0.2,0.6,0.25,0.05,0.2,123,1
0.2,0.6,0.25,0.05,0.25,117,1
0.2,0.6,0.25,0.05,0.3,126,1
0.2,0.6,0.25,0.1,0.05,67,1
0.2,0.6,0.25,0.1,0.1,106,1
0.2,0.6,0.25,0.1,0.15,118,1
0.2,0.6,0.25,0.1,0.2,135,1
0.2,0.6,0.25,0.1,0.25,129,1
0.2,0.6,0.25,0.1,0.3,125,1
0.2,0.6,0.25,0.15,0.05,54,1
0.2,0.6,0.25,0.15,0.1,79,1
0.2,0.6,0.25,0.15,0.15,103,1
0.2,0.6,0.25,0.15,0.2,109,1
0.2,0.6,0.25,0.15,0.25,123,1
0.2,0.6,0.25,0.15,0.3,124,1
0.2,0.6,0.25,0.2,0.05,49,1
0.2,0.6,0.25,0.2,0.1,82,1
0.2,0.6,0.25,0.2,0.15,87,1
0.2,0.6,0.25,0.2,0.2,92,1
0.2,0.6,0.25,0.2,0.25,102,1
0.2,0.6,0.25,0.2,0.3,115,1
0.2,0.6,0.25,0.25,0.05,43,1
0.2,0.6,0.25,0.25,0.1,60,1
0.2,0.6,0.25,0.25,0.15,73,1
0.2,0.6,0.25,0.25,0.2,81,1
0.2,0.6,0.25,0.25,0.25,87,1
0.2,0.6,0.25,0.25,0.3,89,1
0.2,0.6,0.25,0.3,0.05,35,1
0.2,0.6,0.25,0.3,0.1,52,1
0.2,0.6,0.25,0.3,0.15,58,1
0.2,0.6,0.25,0.3,0.2,80,1
0.2,0.6,0.25,0.3,0.25,73,1
0.2,0.6,0.25,0.3,0.3,84,1
0.2,0.6,0.3,0.05,0.05,55,1
0.2,0.6,0.3,0.05,0.1,88,1
0.2,0.6,0.3,0.05,0.15,98,1
0.2,0.6,0.3,0.05,0.2,103,1
0.2,0.6,0.3,0.05,0.25,111,1
0.2,0.6,0.3,0.05,0.3,108,1
0.2,0.6,0.3,0.1,0.05,50,1
0.2,0.6,0.3,0.1,0.1,87,1
0.2,0.6,0.3,0.1,0.15,102,1
0.2,0.6,0.3,0.1,0.2,108,1
0.2,0.6,0.3,0.1,0.25,126,1
0.2,0.6,0.3,0.1,0.3,122,1
0.2,0.6,0.3,0.15,0.05,44,1
0.2,0.6,0.3,0.15,0.1,81,1
0.2,0.6,0.3,0.15,0.15,84,1
0.2,0.6,0.3,0.15,0.2,96,1
0.2,0.6,0.3,0.15,0.25,103,1
0.2,0.6,0.3,0.15,0.3,108,1
0.2,0.6,0.3,0.2,0.05,41,1
0.2,0.6,0.3,0.2,0.1,69,1
0.2,0.6,0.3,0.2,0.15,76,1
0.2,0.6,0.3,0.2,0.2,83,1
0.2,0.6,0.3,0.2,0.25,85,1
0.2,0.6,0.3,0.2,0.3,86,1
0.2,0.6,0.3,0.25,0.05,34,1
0.2,0.6,0.3,0.25,0.1,54,1
0.2,0.6,0.3,0.25,0.15,60,1
0.2,0.6,0.3,0.25,0.2,70,1
0.2,0.6,0.3,0.25,0.25,80,1
0.2,0.6,0.3,0.25,0.3,83,1
0.2,0.6,0.3,0.3,0.05,32,1
0.2,0.6,0.3,0.3,0.1,45,1
0.2,0.6,0.3,0.3,0.15,53,1
0.2,0.6,0.3,0.3,0.2,55,1
0.2,0.6,0.3,0.3,0.25,59,1
0.2,0.6,0.3,0.3,0.3,71,1
0.3,0.6,0.05,0.05,0.05,163,1
0.3,0.6,0.05,0.05,0.1,182,1
0.3,0.6,0.05,0.05,0.15,169,1
0.3,0.6,0.05,0.05,0.2,153,1
0.3,0.6,0.05,0.05,0.25,180,1
0.3,0.6,0.05,0.05,0.3,179,1
0.3,0.6,0.05,0.1,0.05,177,1
0.3,0.6,0.05,0.1,0.1,170,1
0.3,0.6,0.05,0.1,0.15,159,1
0.3,0.6,0.05,0.1,0.2,176,1
0.3,0.6,0.05,0.1,0.25,157,1
0.3,0.6,0.05,0.1,0.3,172,1
0.3,0.6,0.05,0.15,0.05,185,1
0.3,0.6,0.05,0.15,0.1,180,1
0.3,0.6,0.05,0.15,0.15,186,1
0.3,0.6,0.05,0.15,0.2,181,1
0.3,0.6,0.05,0.15,0.25,184,1
0.3,0.6,0.05,0.15,0.3,186,1
0.3,0.6,0.05,0.2,0.05,183,1
0.3,0.6,0.05,0.2,0.1,182,1
0.3,0.6,0.05,0.2,0.15,182,1
0.3,0.6,0.05,0.2,0.2,184,1
0.3,0.6,0.05,0.2,0.25,181,1
0.3,0.6,0.05,0.2,0.3,180,1
0.3,0.6,0.05,0.25,0.05,176,1
0.3,0.6,0.05,0.25,0.1,182,1
0.3,0.6,0.05,0.25,0.15,182,1
0.3,0.6,0.05,0.25,0.2,182,1
0.3,0.6,0.05,0.25,0.25,181,1
0.3,0.6,0.05,0.25,0.3,179,1
0.3,0.6,0.05,0.3,0.05,173,1
0.3,0.6,0.05,0.3,0.1,160,1
0.3,0.6,0.05,0.3,0.15,176,1
0.3,0.6,0.05,0.3,0.2,172,1
0.3,0.6,0.05,0.3,0.25,174,1
0.3,0.6,0.05,0.3,0.3,179,1
0.3,0.6,0.1,0.05,0.05,172,1
0.3,0.6,0.1,0.05,0.1,161,1
0.3,0.6,0.1,0.05,0.15,151,1
0.3,0.6,0.1,0.05,0.2,154,1
0.3,0.6,0.1,0.05,0.25,167,1
0.3,0.6,0.1,0.05,0.3,167,1
0.3,0.6,0.1,0.1,0.05,169,1
0.3,0.6,0.1,0.1,0.1,181,1
0.3,0.6,0.1,0.1,0.15,168,1
0.3,0.6,0.1,0.1,0.2,168,1
0.3,0.6,0.1,0.1,0.25,168,1
0.3,0.6,0.1,0.1,0.3,171,1
0.3,0.6,0.1,0.15,0.05,160,1
0.3,0.6,0.1,0.15,0.1,182,1
0.3,0.6,0.1,0.15,0.15,181,1
0.3,0.6,0.1,0.15,0.2,180,1
0.3,0.6,0.1,0.15,0.25,180,1
0.3,0.6,0.1,0.15,0.3,184,1
0.3,0.6,0.1,0.2,0.05,157,1
0.3,0.6,0.1,0.2,0.1,175,1
0.3,0.6,0.1,0.2,0.15,178,1
0.3,0.6,0.1,0.2,0.2,180,1
0.3,0.6,0.1,0.2,0.25,182,1
0.3,0.6,0.1,0.2,0.3,181,1
0.3,0.6,0.1,0.25,0.05,150,1
0.3,0.6,0.1,0.25,0.1,162,1
0.3,0.6,0.1,0.25,0.15,170,1
0.3,0.6,0.1,0.25,0.2,174,1
0.3,0.6,0.1,0.25,0.25,179,1
0.3,0.6,0.1,0.25,0.3,179,1
0.3,0.6,0.1,0.3,0.05,140,1
0.3,0.6,0.1,0.3,0.1,164,1
0.3,0.6,0.1,0.3,0.15,158,1
0.3,0.6,0.1,0.3,0.2,169,1
0.3,0.6,0.1,0.3,0.25,173,1
0.3,0.6,0.1,0.3,0.3,177,1
0.3,0.6,0.15,0.05,0.05,148,1
0.3,0.6,0.15,0.05,0.1,156,1
0.3,0.6,0.15,0.05,0.15,163,1
0.3,0.6,0.15,0.05,0.2,159,1
0.3,0.6,0.15,0.05,0.25,153,1
0.3,0.6,0.15,0.05,0.3,150,1
0.3,0.6,0.15,0.1,0.05,147,1
0.3,0.6,0.15,0.1,0.1,161,1
0.3,0.6,0.15,0.1,0.15,180,1
0.3,0.6,0.15,0.1,0.2,173,1
0.3,0.6,0.15,0.1,0.25,163,1
0.3,0.6,0.15,0.1,0.3,173,1
0.3,0.6,0.15,0.15,0.05,144,1
0.3,0.6,0.15,0.15,0.1,154,1
0.3,0.6,0.15,0.15,0.15,168,1
0.3,0.6,0.15,0.15,0.2,170,1
0.3,0.6,0.15,0.15,0.25,172,1
0.3,0.6,0.15,0.15,0.3,172,1
0.3,0.6,0.15,0.2,0.05,136,1
0.3,0.6,0.15,0.2,0.1,157,1
0.3,0.6,0.15,0.2,0.15,159,1
0.3,0.6,0.15,0.2,0.2,165,1
0.3,0.6,0.15,0.2,0.25,169,1
0.3,0.6,0.15,0.2,0.3,170,1
0.3,0.6,0.15,0.25,0.05,127,1
0.3,0.6,0.15,0.25,0.1,152,1
0.3,0.6,0.15,0.25,0.15,157,1
0.3,0.6,0.15,0.25,0.2,163,1
0.3,0.6,0.15,0.25,0.25,168,1
0.3,0.6,0.15,0.25,0.3,166,1
0.3,0.6,0.15,0.3,0.05,120,1
0.3,0.6,0.15,0.3,0.1,139,1
0.3,0.6,0.15,0.3,0.15,152,1
0.3,0.6,0.15,0.3,0.2,160,1
0.3,0.6,0.15,0.3,0.25,155,1
0.3,0.6,0.15,0.3,0.3,166,1
0.3,0.6,0.2,0.05,0.05,119,1
0.3,0.6,0.2,0.05,0.1,144,1
0.3,0.6,0.2,0.05,0.15,151,1
0.3,0.6,0.2,0.05,0.2,142,1
0.3,0.6,0.2,0.05,0.25,154,1
0.3,0.6,0.2,0.05,0.3,143,1
0.3,0.6,0.2,0.1,0.05,134,1
0.3,0.6,0.2,0.1,0.1,150,1
0.3,0.6,0.2,0.1,0.15,155,1
0.3,0.6,0.2,0.1,0.2,162,1
0.3,0.6,0.2,0.1,0.25,155,1
0.3,0.6,0.2,0.1,0.3,158,1
0.3,0.6,0.2,0.15,0.05,130,1
0.3,0.6,0.2,0.15,0.1,148,1
0.3,0.6,0.2,0.15,0.15,154,1
0.3,0.6,0.2,0.15,0.2,154,1
0.3,0.6,0.2,0.15,0.25,154,1
0.3,0.6,0.2,0.15,0.3,155,1
0.3,0.6,0.2,0.2,0.05,121,1
0.3,0.6,0.2,0.2,0.1,138,1
0.3,0.6,0.2,0.2,0.15,149,1
0.3,0.6,0.2,0.2,0.2,155,1
0.3,0.6,0.2,0.2,0.25,161,1
0.3,0.6,0.2,0.2,0.3,162,1
0.3,0.6,0.2,0.25,0.05,111,1
0.3,0.6,0.2,0.25,0.1,131,1
0.3,0.6,0.2,0.25,0.15,145,1
0.3,0.6,0.2,0.25,0.2,149,1
0.3,0.6,0.2,0.25,0.25,154,1
0.3,0.6,0.2,0.25,0.3,156,1
0.3,0.6,0.2,0.3,0.05,108,1
0.3,0.6,0.2,0.3,0.1,122,1
0.3,0.6,0.2,0.3,0.15,132,1
0.3,0.6,0.2,0.3,0.2,143,1
0.3,0.6,0.2,0.3,0.25,146,1
0.3,0.6,0.2,0.3,0.3,151,1
0.3,0.6,0.25,0.05,0.05,112,1
